"class_id","ODP"
"become-109.1","TimeIndexedPersonStatus"
"obtain-13.5.2","TimeIndexedPersonStatus"
"assessment-34.1","TImeIndexedPersonStatus"
"get-13.5.1","TImeIndexedPersonStatus"
"complete-55.2","TimeIndexedPersonStatus"
"conduct-111.1","TimeIndexedPersonStatus"
"spend_time-104","TimeIndexedPersonStatus"
"transfer_mesg-37.1.1-1-1","TimeIndexedPersonStatus"
"admit-64.3-1","TimeIndexedPersonStatus"
"advise-37.9","TimeIndexedPersonStatus"
"send-11.1","Migration"
"appoint-29.1","TimeIndexedPersonStatus"
"mix-22.1-2-1","Migration"
"lecture-37.11-1","TimeIndexedPersonStatus"
"escape-51.1-1","Migration"
"supervision-95.2.2-1","TimeIndexedPersonStatus"
"create-26.4","TimeIndexedPersonStatus"
"future_having-13.3","TimeIndexedPersonStatus"
"employment-95.3","TimeIndexedPersonStatus"
"characterize-29.2-1-2","TimeIndexedPersonStatus"
"exist-47.1","TimeIndexedPersonStatus"
"continue-55.3","TimeIndexedPersonStatus"
"establish-55.5-1","Migration"
"stop-55.4-1-1","TimeIndexedPersonStatus"
"begin-55.1-1-1","TimeIndexedPersonStatus"
"slide-11.2","Migration"
"escape-51.1-1-1","Migration"
"run-51.3.2-1","Migration"
"give-13.1","TimeIndexedPersonStatus"
"attend-107.4-1","TimeIndexedPersonStatus"
"rear-26.2.2","TimeIndexedPersonStatus"
"create-26.4-1","TimeIndexedPersonStatus"
"ROOT","TimeIndexedPersonStatus"
"interrogate-37.1.3","TimeIndexedPersonStatus"
